commit,HIGH_severity,MEDIUM_severity,LOW_severity,HIGH_confidence,MEDIUM_confidence,LOW_confidence,CWEs,No. of CWEs
257bc95118cf6bd678bfed27b483b24ed7cbe5e3,0,4,2366,2370,0,0,"22,78,703,502",4
f1e586b4d68cfc954669343e8b448a0a2afe4042,0,4,2366,2370,0,0,"22,78,703,502",4
d2761a390ff954daeffd8e1d36b4f94d508df767,0,4,2366,2370,0,0,"22,78,703,502",4
5fe059f1c48426a1c05b6027cd677c1a1d18d735,0,4,2366,2370,0,0,"22,78,703,502",4
a7fcd07951a9e61e1b66dccc082633d383660e47,0,4,2366,2370,0,0,"22,78,703,502",4
fe0e0d78a80b307d69404e47586b0ff0124f0eaf,0,4,2366,2370,0,0,"22,78,703,502",4
ec6e4c0d62d78e9709c9b2ab7dc0ddd54987a325,0,4,2366,2370,0,0,"22,78,703,502",4
8ccf28f02d004c057fce149908d5e06c9b31beb4,0,4,2366,2370,0,0,"22,78,703,502",4
6710e289993ce74c03707ad0a2a75924e90c5981,0,4,2366,2370,0,0,"22,78,703,502",4
0082409fb62f297df0936fb24548837ab3ff502d,0,4,2366,2370,0,0,"22,78,703,502",4
60880681214e7259bf1f97721c13c37c064cd8a7,0,4,2366,2370,0,0,"22,78,703,502",4
52051117f66b220fcf422db6a085e8295a2226cb,0,4,2366,2370,0,0,"22,78,703,502",4
c17491d96e4df5f268ea088101a8fdf62b7ee590,0,4,2366,2370,0,0,"22,78,703,502",4
bbf985053af2fec093fd6c32f50324420bc56114,0,4,2363,2367,0,0,"22,78,703,502",4
36cca5b623dda4e75ac677c9d8ad6a321a2e72c2,0,4,2363,2367,0,0,"22,78,703,502",4
30ee47d021c7c72914704847a63c8ad29ba1f800,0,4,2363,2367,0,0,"22,78,703,502",4
e75cd73bfd0ff188b0f1c4ef89adb82edadb16f0,0,4,2362,2366,0,0,"22,78,703,502",4
a50bfaeaa8152c9dd82425d253c7202a7d247869,0,4,2362,2366,0,0,"22,78,703,502",4
1b41cc1fbc6d84bc32f5019f3716685fef5b170d,0,4,2362,2366,0,0,"22,78,703,502",4
cbc54e0f40d9ecde66ac889772babb1822afee9e,0,4,2362,2366,0,0,"22,78,703,502",4
f5517186874107e72440ec9b55cd31ce77cc2a3d,0,4,2362,2366,0,0,"22,78,703,502",4
416346e1c5f0b6e05979d4ab0d0053e9878b0b28,0,4,2361,2365,0,0,"22,78,703,502",4
a507ea8cd33c0096921be9ab2003204bb2b80db4,0,4,2361,2365,0,0,"22,78,703,502",4
33be4dc3c901d32906fae98837e9bcf502bc7027,0,4,2361,2365,0,0,"22,78,703,502",4
d37744473ce54afc3bfee5fd4e19161138595b58,0,4,2361,2365,0,0,"22,78,703,502",4
13dcb6cacf4c54d7be990f2bb0af312bf445769c,0,4,2361,2365,0,0,"22,78,703,502",4
30573514d39eb3f67485245628fb4f549be25ad8,0,4,2361,2365,0,0,"22,78,703,502",4
e460351eef82a170dabe81ee90b5d8ff57444093,0,4,2361,2365,0,0,"22,78,703,502",4
56a1d56c93c78134eeb71d1703481f3d550b97e0,0,4,2361,2365,0,0,"22,78,703,502",4
21dbc38057a433f7fa4ca4e05a6d87da36de81bc,0,4,2361,2365,0,0,"22,78,703,502",4
1249c862331d2b027acea8ab2270387694a09eb1,0,4,2361,2365,0,0,"22,78,703,502",4
c3c1d943468e303b433f7fb21bd3513b8ea9813a,0,4,2361,2365,0,0,"22,78,703,502",4
37b038757a88b0a5974a68246e28cdcd6a62280f,0,4,2361,2365,0,0,"22,78,703,502",4
5352798ee0d36ed566e651466e54634b1b9a06c8,0,4,2361,2365,0,0,"22,78,703,502",4
c61e9cd27dde36f034ce3cfab71f4c43c92a83ee,0,4,2361,2365,0,0,"22,78,703,502",4
d8cba79c73564a381de5637545455c4eb40d5977,0,4,2362,2366,0,0,"22,78,703,502",4
22b89824744520cee66ba78297bd168d9f3e584e,0,4,2362,2366,0,0,"22,78,703,502",4
bcdb7fce28c99da6aa68f7eed84e1c3e7f3da625,0,4,2362,2366,0,0,"22,78,703,502",4
54f7101a379bccf2973907558f9eca92e386a6c6,0,4,2362,2366,0,0,"22,78,703,502",4
81cfe3c94040594b4a27e03f3d6ba0a6aad878d2,0,4,2361,2365,0,0,"22,78,703,502",4
e25a04221449d28a26fe9c9f92e6bea9329a44c3,0,4,2363,2367,0,0,"22,78,703,502",4
0b4215d2413032b175b038008bb16c3f1ba0c0ac,0,4,2363,2367,0,0,"22,78,703,502",4
938aff4edb0d92fdb0b5d690a1f9d0ebc488e7e7,0,4,2363,2367,0,0,"22,78,703,502",4
1457626da7db844e80fb11db19a4ccab92ec6fd0,0,4,2362,2366,0,0,"22,78,703,502",4
c7ad54658ee48f83abfa5bff44a3c1e813cf2ac7,0,4,2362,2366,0,0,"22,78,703,502",4
40a1972e9881df759f419cc8076ead00179764d3,0,4,2362,2366,0,0,"22,78,703,502",4
e53affe619d828e4e62624ce4b870746d723a7c8,0,4,2362,2366,0,0,"22,78,703,502",4
01b65e671aa68b1096274f7ed3a10c1062f5f634,0,4,2362,2366,0,0,"22,78,703,502",4
78454b09a7fbe7ba4273a6187868dc89ea05bd88,0,4,2362,2366,0,0,"22,78,703,502",4
2ac50d1ff8955ae5f1d0689fe8212ba8e09dffa4,0,4,2362,2366,0,0,"22,78,703,502",4
c4b28dfd946af4c179da33adff265ebc66537aa1,0,4,2362,2366,0,0,"22,78,703,502",4
c3b03c669f6f302a909452f9ec41ef8378c7a212,0,4,2362,2366,0,0,"22,78,703,502",4
01528624c3adfef311b05ce99016df7330085c99,0,4,2362,2366,0,0,"22,78,703,502",4
c209f993839ea2b3a6cd5a0a292ad90a6da0f911,0,4,2362,2366,0,0,"22,78,703,502",4
ec525906c51ad199896ffdee6a862992ffe69380,0,4,2362,2366,0,0,"22,78,703,502",4
b2c4be102b19bb46b66d681cc6993afe4e67f0eb,0,4,2362,2366,0,0,"22,78,703,502",4
aa4906bb446b8408aa20166360946754d5cbb51a,0,4,2362,2366,0,0,"22,78,703,502",4
f7bb4e7370850c2e8c687f7d1e31c9e7e16c926a,0,4,2362,2366,0,0,"22,78,703,502",4
1b6d7dbff93f4bdfeaeae5d55b194120faf0e836,0,4,2362,2366,0,0,"22,78,703,502",4
63210f5d80af1f9d9bc725e3953a3fc6fee386a3,0,4,2362,2366,0,0,"22,78,703,502",4
35dd87a0f1f4e773d06922a5860cf07bfa487a3b,0,4,2362,2366,0,0,"22,78,703,502",4
ca13ed696e918290adec2e635eda1a8014e3226c,0,4,2362,2366,0,0,"22,78,703,502",4
cefd39ee3e69132b9155dde6cba8fa87f82f180d,0,4,2362,2366,0,0,"22,78,703,502",4
750ef7ba2b8cba919d1284e4ee1ae6301e3bad11,0,4,2362,2366,0,0,"22,78,703,502",4
2aac37e2fd0ceef06bf01c3004befa8f5d9f0ea8,0,4,2362,2366,0,0,"22,78,703,502",4
6f204fd0c6e314f39efdaf4aa47b2f0a51dd3741,0,4,2362,2366,0,0,"22,78,703,502",4
4f06ab764c1f15417d763976c98a4c17680d3954,0,4,2362,2366,0,0,"22,78,703,502",4
465d8ac1675f65f28051423bd7fd84dc5cd2a715,0,4,2362,2366,0,0,"22,78,703,502",4
db324210ce1859e0be2d37e79fc04b843464e735,0,4,2362,2366,0,0,"22,78,703,502",4
c41747623ef5191f270a99603f60a05df7e2d6cc,0,4,2362,2366,0,0,"22,78,703,502",4
0a3f5e4588ada0296150c7ebf692f55dc444c9b4,0,4,2357,2361,0,0,"22,78,703,502",4
36e0d0c48606c4e8457298aa1c4ff1510c92c8a5,0,4,2342,2346,0,0,"22,78,703,502",4
4ea1406331923444838c7c8dfe9fc411934ed5a0,0,4,2337,2341,0,0,"22,78,703,502",4
b81038977398c7cb65f135a783789197e8d189ff,0,4,2336,2340,0,0,"22,78,703,502",4
cdcdb584bb973e0902e5e803b520e7525f51b24f,0,4,2336,2340,0,0,"22,78,703,502",4
67f43ae9414283fc10330663613e8c1fb6455e34,0,4,2332,2336,0,0,"22,78,703,502",4
45069a966d3e123bf98efbc4f28008e31b243df8,0,4,2332,2336,0,0,"22,78,703,502",4
b7d9e1d32136d4d9d6ab2d3c83d9439e78cc6468,0,4,2332,2336,0,0,"22,78,703,502",4
b9fbfeda3dd8fdb081d538684bd2dcc81b14fb61,0,4,2332,2336,0,0,"22,78,703,502",4
4300be1d5fd6d8ac658bd7f5157f0f06f74f86e5,0,4,2330,2334,0,0,"22,78,703,502",4
79fafb04bd5e26bf1e7057e80860107aa5939c1a,0,4,2330,2334,0,0,"22,78,703,502",4
af5ea5c6ae09484b046351433f36f0ebb572eda8,0,4,2330,2334,0,0,"22,78,703,502",4
0cc291aed423e8474ed69c817f06bc1ee030d8dd,0,4,2328,2332,0,0,"22,78,703,502",4
8270111a2d931e785cc785b9e75c9a8775b9445d,0,4,2328,2332,0,0,"22,78,703,502",4
97df9c3d3b14e951d423fe5dd8bd974a066799e9,0,4,2328,2332,0,0,"22,78,703,502",4
b06d6c38908b00f0600b453fc74fd93014c91132,0,4,2329,2333,0,0,"22,78,703,502",4
db0b21810c67eee7a54111abdf34819a105297a2,0,4,2329,2333,0,0,"22,78,703,502",4
585962da9d2ed77e8c969858d7548af5feb2d8cb,0,4,2330,2334,0,0,"22,78,703,502",4
04fe3cdee020727841e91700cb56303a6b732c2b,0,4,2338,2342,0,0,"22,78,703,502",4
e415124d57e51e931e0c72919447ae0bf3206cfc,0,4,2338,2342,0,0,"22,78,703,502",4
28560627ad75729ac0da865584fdea2344e63a50,0,4,2338,2342,0,0,"22,78,703,502",4
6e0d3175ea52a9f2fb24d26ea9fc39681edded7f,0,4,2338,2342,0,0,"22,78,703,502",4
623ca42591c811401c20a1c64f8d62a6cdb04005,0,4,2338,2342,0,0,"22,78,703,502",4
e19cd39bc02ff63a671e3a760bb45cae0b2f4382,0,4,2340,2344,0,0,"22,78,703,502",4
93b540fa8cee4a05732ab7291811d872e768eaf5,0,4,2340,2344,0,0,"22,78,703,502",4
d596afbe266ae1bdafec6735d73a82885e06dea1,0,4,2340,2344,0,0,"22,78,703,502",4
253513bbc17914ad68921070ec90da44c8720808,0,4,2342,2346,0,0,"22,78,703,502",4
90f20a2d1ccee379cf10491c30f47ff46049398e,0,4,2342,2346,0,0,"22,78,703,502",4
d31301279776888c1540bfba890cba38ea250637,0,4,2339,2343,0,0,"22,78,703,502",4
0680957e2e43f29ed51284687d7a4e7cb21dcde4,0,4,2339,2343,0,0,"22,78,703,502",4
